"customerid","gender","age","annual_income","spending_score","annual_income_k","cluster"
1,"Male",19,15,39,15,"2"
2,"Male",21,15,81,15,"1"
3,"Female",20,16,6,16,"2"
4,"Female",23,16,77,16,"1"
5,"Female",31,17,40,17,"2"
6,"Female",22,17,76,17,"1"
7,"Female",35,18,6,18,"2"
8,"Female",23,18,94,18,"1"
9,"Male",64,19,3,19,"2"
10,"Female",30,19,72,19,"1"
11,"Male",67,19,14,19,"2"
12,"Female",35,19,99,19,"1"
13,"Female",58,20,15,20,"2"
14,"Female",24,20,77,20,"1"
15,"Male",37,20,13,20,"2"
16,"Male",22,20,79,20,"1"
17,"Female",35,21,35,21,"2"
18,"Male",20,21,66,21,"1"
19,"Male",52,23,29,23,"2"
20,"Female",35,23,98,23,"1"
21,"Male",35,24,35,24,"2"
22,"Male",25,24,73,24,"1"
23,"Female",46,25,5,25,"2"
24,"Male",31,25,73,25,"1"
25,"Female",54,28,14,28,"2"
26,"Male",29,28,82,28,"1"
27,"Female",45,28,32,28,"2"
28,"Male",35,28,61,28,"1"
29,"Female",40,29,31,29,"2"
30,"Female",23,29,87,29,"1"
31,"Male",60,30,4,30,"2"
32,"Female",21,30,73,30,"1"
33,"Male",53,33,4,33,"2"
34,"Male",18,33,92,33,"1"
35,"Female",49,33,14,33,"2"
36,"Female",21,33,81,33,"1"
37,"Female",42,34,17,34,"2"
38,"Female",30,34,73,34,"1"
39,"Female",36,37,26,37,"2"
40,"Female",20,37,75,37,"1"
41,"Female",65,38,35,38,"2"
42,"Male",24,38,92,38,"1"
43,"Male",48,39,36,39,"2"
44,"Female",31,39,61,39,"4"
45,"Female",49,39,28,39,"2"
46,"Female",24,39,65,39,"1"
47,"Female",50,40,55,40,"4"
48,"Female",27,40,47,40,"4"
49,"Female",29,40,42,40,"4"
50,"Female",31,40,42,40,"4"
51,"Female",49,42,52,42,"4"
52,"Male",33,42,60,42,"4"
53,"Female",31,43,54,43,"4"
54,"Male",59,43,60,43,"4"
55,"Female",50,43,45,43,"4"
56,"Male",47,43,41,43,"4"
57,"Female",51,44,50,44,"4"
58,"Male",69,44,46,44,"4"
59,"Female",27,46,51,46,"4"
60,"Male",53,46,46,46,"4"
61,"Male",70,46,56,46,"4"
62,"Male",19,46,55,46,"4"
63,"Female",67,47,52,47,"4"
64,"Female",54,47,59,47,"4"
65,"Male",63,48,51,48,"4"
66,"Male",18,48,59,48,"4"
67,"Female",43,48,50,48,"4"
68,"Female",68,48,48,48,"4"
69,"Male",19,48,59,48,"4"
70,"Female",32,48,47,48,"4"
71,"Male",70,49,55,49,"4"
72,"Female",47,49,42,49,"4"
73,"Female",60,50,49,50,"4"
74,"Female",60,50,56,50,"4"
75,"Male",59,54,47,54,"4"
76,"Male",26,54,54,54,"4"
77,"Female",45,54,53,54,"4"
78,"Male",40,54,48,54,"4"
79,"Female",23,54,52,54,"4"
80,"Female",49,54,42,54,"4"
81,"Male",57,54,51,54,"4"
82,"Male",38,54,55,54,"4"
83,"Male",67,54,41,54,"4"
84,"Female",46,54,44,54,"4"
85,"Female",21,54,57,54,"4"
86,"Male",48,54,46,54,"4"
87,"Female",55,57,58,57,"4"
88,"Female",22,57,55,57,"4"
89,"Female",34,58,60,58,"4"
90,"Female",50,58,46,58,"4"
91,"Female",68,59,55,59,"4"
92,"Male",18,59,41,59,"4"
93,"Male",48,60,49,60,"4"
94,"Female",40,60,40,60,"4"
95,"Female",32,60,42,60,"4"
96,"Male",24,60,52,60,"4"
97,"Female",47,60,47,60,"4"
98,"Female",27,60,50,60,"4"
99,"Male",48,61,42,61,"4"
100,"Male",20,61,49,61,"4"
101,"Female",23,62,41,62,"4"
102,"Female",49,62,48,62,"4"
103,"Male",67,62,59,62,"4"
104,"Male",26,62,55,62,"4"
105,"Male",49,62,56,62,"4"
106,"Female",21,62,42,62,"4"
107,"Female",66,63,50,63,"4"
108,"Male",54,63,46,63,"4"
109,"Male",68,63,43,63,"4"
110,"Male",66,63,48,63,"4"
111,"Male",65,63,52,63,"4"
112,"Female",19,63,54,63,"4"
113,"Female",38,64,42,64,"4"
114,"Male",19,64,46,64,"4"
115,"Female",18,65,48,65,"4"
116,"Female",19,65,50,65,"4"
117,"Female",63,65,43,65,"4"
118,"Female",49,65,59,65,"4"
119,"Female",51,67,43,67,"4"
120,"Female",50,67,57,67,"4"
121,"Male",27,67,56,67,"4"
122,"Female",38,67,40,67,"4"
123,"Female",40,69,58,69,"4"
124,"Male",39,69,91,69,"5"
125,"Female",23,70,29,70,"6"
126,"Female",31,70,77,70,"5"
127,"Male",43,71,35,71,"4"
128,"Male",40,71,95,71,"5"
129,"Male",59,71,11,71,"6"
130,"Male",38,71,75,71,"5"
131,"Male",47,71,9,71,"6"
132,"Male",39,71,75,71,"5"
133,"Female",25,72,34,72,"4"
134,"Female",31,72,71,72,"5"
135,"Male",20,73,5,73,"6"
136,"Female",29,73,88,73,"5"
137,"Female",44,73,7,73,"6"
138,"Male",32,73,73,73,"5"
139,"Male",19,74,10,74,"6"
140,"Female",35,74,72,74,"5"
141,"Female",57,75,5,75,"6"
142,"Male",32,75,93,75,"5"
143,"Female",28,76,40,76,"4"
144,"Female",32,76,87,76,"5"
145,"Male",25,77,12,77,"6"
146,"Male",28,77,97,77,"5"
147,"Male",48,77,36,77,"6"
148,"Female",32,77,74,77,"5"
149,"Female",34,78,22,78,"6"
150,"Male",34,78,90,78,"5"
151,"Male",43,78,17,78,"6"
152,"Male",39,78,88,78,"5"
153,"Female",44,78,20,78,"6"
154,"Female",38,78,76,78,"5"
155,"Female",47,78,16,78,"6"
156,"Female",27,78,89,78,"5"
157,"Male",37,78,1,78,"6"
158,"Female",30,78,78,78,"5"
159,"Male",34,78,1,78,"6"
160,"Female",30,78,73,78,"5"
161,"Female",56,79,35,79,"6"
162,"Female",29,79,83,79,"5"
163,"Male",19,81,5,81,"6"
164,"Female",31,81,93,81,"5"
165,"Male",50,85,26,85,"6"
166,"Female",36,85,75,85,"5"
167,"Male",42,86,20,86,"6"
168,"Female",33,86,95,86,"5"
169,"Female",36,87,27,87,"6"
170,"Male",32,87,63,87,"5"
171,"Male",40,87,13,87,"6"
172,"Male",28,87,75,87,"5"
173,"Male",36,87,10,87,"6"
174,"Male",36,87,92,87,"5"
175,"Female",52,88,13,88,"6"
176,"Female",30,88,86,88,"5"
177,"Male",58,88,15,88,"6"
178,"Male",27,88,69,88,"5"
179,"Male",59,93,14,93,"6"
180,"Male",35,93,90,93,"5"
181,"Female",37,97,32,97,"6"
182,"Female",32,97,86,97,"3"
183,"Male",46,98,15,98,"6"
184,"Female",29,98,88,98,"3"
185,"Female",41,99,39,99,"6"
186,"Male",30,99,97,99,"3"
187,"Female",54,101,24,101,"6"
188,"Male",28,101,68,101,"3"
189,"Female",41,103,17,103,"6"
190,"Female",36,103,85,103,"3"
191,"Female",34,103,23,103,"6"
192,"Female",32,103,69,103,"3"
193,"Male",33,113,8,113,"6"
194,"Female",38,113,91,113,"3"
195,"Female",47,120,16,120,"6"
196,"Female",35,120,79,120,"3"
197,"Female",45,126,28,126,"6"
198,"Male",32,126,74,126,"3"
199,"Male",32,137,18,137,"6"
200,"Male",30,137,83,137,"3"
